Месяц,Выручка,Новые клиенты,LTV,Отток,Маржа,CAC
Январь,"р.3 200 000,00",180,"р.52 000,00","5,20%",38,"р.9 200,00"
Февраль,"р.3 350 000,00",188,"р.52 500,00","5,00%",39,"р.9 100,00"
Март,"р.3 480 000,00",195,"р.51 800,00","5,40%",37,"р.9 600,00"
Апрель,"р.3 720 000,00",230,"р.49 500,00","6,10%",34,"р.11 800,00"
Май,"р.4 050 000,00",285,"р.46 800,00","7,30%",30,"р.15 600,00"
Июнь,"р.4 210 000,00",310,"р.45 200,00","8,10%",27,"р.18 400,00"
Июль,"р.3 980 000,00",260,"р.46 100,00","8,80%",25,"р.17 100,00"
Август,"р.3 860 000,00",225,"р.47 400,00","8,40%",28,"р.13 900,00"
Сентябрь,"р.4 140 000,00",240,"р.48 900,00","7,60%",31,"р.12 100,00"
Октябрь,"р.4 560 000,00",265,"р.50 700,00","6,80%",34,"р.10 800,00"
Ноябрь,"р.4 820 000,00",278,"р.52 600,00","6,20%",36,"р.9 800,00"
Декабрь,"р.5 150 000,00",295,"р.54 100,00","5,90%",38,"р.9 400,00"
